测试套/软件包名,测试用例名,状态,日志文件,原因
perl-libwww-perl,oe_test_perl-libwww-perl_GET_01,fail,./oe-rv2309/mugen-riscv/logs/perl-libwww-perl/oe_test_perl-libwww-perl_GET_01/2023-08-08-12_05_36.log,"perl-libwww-perl 安装失败 package perl-libwww-perl-6.67-1.oe2309.noarch requires perl >= 6, but none of the providers can be installed"
,oe_test_perl-libwww-perl_GET_02,fail,./oe-rv2309/mugen-riscv/logs/perl-libwww-perl/oe_test_perl-libwww-perl_GET_02/2023-08-08-12_10_42.log,"perl-libwww-perl 安装失败 package perl-libwww-perl-6.67-1.oe2309.noarch requires perl >= 6, but none of the providers can be installed"
,oe_test_perl-libwww-perl_HEAD_01,fail,./oe-rv2309/mugen-riscv/logs/perl-libwww-perl/oe_test_perl-libwww-perl_HEAD_01/2023-08-08-12_15_17.log,"perl-libwww-perl 安装失败 package perl-libwww-perl-6.67-1.oe2309.noarch requires perl >= 6, but none of the providers can be installed"
,oe_test_perl-libwww-perl_HEAD_02,fail,./oe-rv2309/mugen-riscv/logs/perl-libwww-perl/oe_test_perl-libwww-perl_HEAD_02/2023-08-08-12_20_09.log,"perl-libwww-perl 安装失败 package perl-libwww-perl-6.67-1.oe2309.noarch requires perl >= 6, but none of the providers can be installed"
,oe_test_perl-libwww-perl_POST_01,fail,./oe-rv2309/mugen-riscv/logs/perl-libwww-perl/oe_test_perl-libwww-perl_POST_01/2023-08-08-12_40_23.log,"perl-libwww-perl 安装失败 package perl-libwww-perl-6.67-1.oe2309.noarch requires perl >= 6, but none of the providers can be installed"
,oe_test_perl-libwww-perl_POST_02,fail,./oe-rv2309/mugen-riscv/logs/perl-libwww-perl/oe_test_perl-libwww-perl_POST_02/2023-08-08-12_45_35.log,"perl-libwww-perl 安装失败 package perl-libwww-perl-6.67-1.oe2309.noarch requires perl >= 6, but none of the providers can be installed"
,oe_test_perl-libwww-perl_lwp-dump,fail,./oe-rv2309/mugen-riscv/logs/perl-libwww-perl/oe_test_perl-libwww-perl_lwp-dump/2023-08-08-12_25_13.log,"perl-libwww-perl 安装失败 package perl-libwww-perl-6.67-1.oe2309.noarch requires perl >= 6, but none of the providers can be installed"
,oe_test_perl-libwww-perl_lwp_request_01,fail,./oe-rv2309/mugen-riscv/logs/perl-libwww-perl/oe_test_perl-libwww-perl_lwp_request_01/2023-08-08-12_30_32.log,"perl-libwww-perl 安装失败 package perl-libwww-perl-6.67-1.oe2309.noarch requires perl >= 6, but none of the providers can be installed"
,oe_test_perl-libwww-perl_lwp_request_02,fail,./oe-rv2309/mugen-riscv/logs/perl-libwww-perl/oe_test_perl-libwww-perl_lwp_request_02/2023-08-08-12_35_45.log,"perl-libwww-perl 安装失败 package perl-libwww-perl-6.67-1.oe2309.noarch requires perl >= 6, but none of the providers can be installed"
polkit,oe_test_service_polkit,fail,./oe-rv2309/mugen-riscv/logs/polkit/oe_test_service_polkit/2023-08-09-05_09_32.log,软件polkit未安装
python-blivet,oe_test_service_blivet,fail,./oe-rv2309/mugen-riscv/logs/python-blivet/oe_test_service_blivet/2023-08-13-04_05_37.log,
qemu,oe_test_service_qemu-pr-helper,fail,./oe-rv2309/mugen-riscv/logs/qemu/oe_test_service_qemu-pr-helper/2023-08-12-23_56_29.log,
,oe_test_socket_qemu-pr-helper,fail,./oe-rv2309/mugen-riscv/logs/qemu/oe_test_socket_qemu-pr-helper/2023-08-12-23_58_56.log,
quota,oe_test_service_rpc-rquotad,fail,./oe-rv2309/mugen-riscv/logs/quota/oe_test_service_rpc-rquotad/2023-08-08-11_21_35.log,重新测试通过
rpmdevtools,oe_test_rpmdevtools_rpmdev-rmdevelrpms,fail,./oe-rv2309/mugen-riscv/logs/rpmdevtools/oe_test_rpmdevtools_rpmdev-rmdevelrpms/2023-08-09-04_09_56.log,软件yumdownloader行为异常，导致下载失败
rpmlint,oe_test_rpmdiff,fail,./oe-rv2309/mugen-riscv/logs/rpmlint/oe_test_rpmdiff/2023-08-09-04_46_08.log,rpmlint 软件包安装时发生依赖错误 nothing provides python3.11dist(zstandard) needed by rpmlint-2.4.0-1.oe2309.noarch
,oe_test_rpmlint,fail,./oe-rv2309/mugen-riscv/logs/rpmlint/oe_test_rpmlint/2023-08-09-04_47_09.log,rpmlint 软件包安装时发生依赖错误 nothing provides python3.11dist(zstandard) needed by rpmlint-2.4.0-1.oe2309.noarch
rsyslog,oe_test_rsyslog_abnormal_config,fail,./oe-rv2309/mugen-riscv/logs/rsyslog/oe_test_rsyslog_abnormal_config/2023-08-08-00_45_57.log,
,oe_test_rsyslog_function_discard,fail,./oe-rv2309/mugen-riscv/logs/rsyslog/oe_test_rsyslog_function_discard/2023-08-08-00_47_34.log,
