测试套/软件包名,测试用例名,状态,日志文件,原因
,oe_test_target_veritysetup-pre,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_target_veritysetup-pre/2023-09-13-22:38:44.log,x86 fail
,oe_test_service_initrd-switch-root,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_initrd-switch-root/2023-09-13-21:35:05.log,x86 fail
,oe_test_service_systemd-timesyncd,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-timesyncd/2023-09-13-21:59:43.log,x86 fail
,oe_test_service_systemd-time-wait-sync,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-time-wait-sync/2023-09-13-22:00:18.log,x86 fail
,oe_test_service_systemd-networkd-wait-online,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-networkd-wait-online/2023-09-13-21:53:23.log,x86 fail
,oe_test_target_cryptsetup-pre,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_target_cryptsetup-pre/2023-09-13-22:14:15.log,x86 fail
,oe_test_service_systemd-initctl,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-initctl/2023-09-13-21:43:45.log,x86 fail
,oe_test_target_remote-cryptsetup,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_target_remote-cryptsetup/2023-09-13-22:24:58.log,x86 fail
,oe_test_socket_systemd-journal-remote,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_socket_systemd-journal-remote/2023-09-13-22:09:57.log,x86 fail
,oe_test_service_systemd-journal-gatewayd,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-journal-gatewayd/2023-09-13-21:45:52.log,x86 fail
,oe_test_service_systemd-network-generator,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-network-generator/2023-09-13-21:53:58.log,x86 fail
,oe_test_target_usb-gadget,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_target_usb-gadget/2023-09-13-22:37:34.log,x86 fail
,oe_test_target_remote-veritysetup,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_target_remote-veritysetup/2023-09-13-22:36:59.log,x86 fail
,oe_test_socket_systemd-journald-audit,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_socket_systemd-journald-audit/2023-09-13-22:06:46.log,systemctl restart systemd-journald-audit.socket失败
,oe_test_socket_systemd-userdbd,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_socket_systemd-userdbd/2023-09-13-22:36:14.log,x86 fail
,oe_test_service_systemd-quotacheck,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-quotacheck/2023-09-13-21:55:15.log,x86 fail
,oe_test_service_systemd-resolved,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-resolved/2023-09-13-21:56:58.log,x86 fail
,oe_test_service_quotaon,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_quotaon/2023-09-13-21:36:27.log,x86 fail
,oe_test_service_systemd-userdbd,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-userdbd/2023-09-13-22:35:39.log,x86 fail
,oe_test_service_systemd-networkd,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_service_systemd-networkd/2023-09-13-21:52:48.log,x86 fail
,oe_test_target_machines,x86 fail,./oe-rv2309/mugen-riscv_v4/logs/systemd/oe_test_target_machines/2023-09-13-22:21:34.log,x86 fail
