测试套/软件包名,测试用例名,状态,与2303对比,日志文件,原因
gsl,oe_test_gsl_histogram_01,fail,09fail,./oe-rv2309/mugen-riscv/logs/gsl/oe_test_gsl_histogram_01/2023-08-09-04:04:19.log,2309中gsl对应版本为2.7.1，软件命令行使用格式有所改变，但mugen脚本没有更新
,oe_test_gsl_randlist_01,success,same,./oe-rv2309/mugen-riscv/logs/gsl/oe_test_gsl_randlist_01/2023-08-09-04:05:21.log,None
,oe_test_gsl_randlist_02,success,same,./oe-rv2309/mugen-riscv/logs/gsl/oe_test_gsl_randlist_02/2023-08-09-04:06:19.log,None
,oe_test_gsl_randlist_03,success,same,./oe-rv2309/mugen-riscv/logs/gsl/oe_test_gsl_randlist_03/2023-08-09-04:07:15.log,None
,oe_test_gsl_randlist_04,success,same,./oe-rv2309/mugen-riscv/logs/gsl/oe_test_gsl_randlist_04/2023-08-09-04:08:14.log,None
hdf5,oe_test_hdf5_01,success,03fail,./oe-rv2309/mugen-riscv/logs/hdf5/oe_test_hdf5_01/2023-08-09-05:18:03.log,None
hostname,oe_test_service_nis-domainname,fail,same/diff,./oe-rv2309/mugen-riscv/logs/hostname/oe_test_service_nis-domainname/2023-08-09-05:00:31.log,x86 fail
iSulad,oe_test_iSulad_container,fail,diff,./oe-rv2309/mugen-riscv/logs/iSulad/oe_test_iSulad_container/2023-08-09-04:19:54.log,软件包安装时发生依赖错误
,oe_test_iSulad_resource_mapping,fail,diff,./oe-rv2309/mugen-riscv/logs/iSulad/oe_test_iSulad_resource_mapping/2023-08-09-04:18:00.log,软件包安装时发生依赖错误
,oe_test_iSulad_resource_restriction_cgroup,fail,diff,./oe-rv2309/mugen-riscv/logs/iSulad/oe_test_iSulad_resource_restriction_cgroup/2023-08-09-04:19:03.log,软件包安装时发生依赖错误
,oe_test_service_isulad,fail,diff,./oe-rv2309/mugen-riscv/logs/iSulad/oe_test_service_isulad/2023-08-09-04:16:32.log,软件包安装时发生依赖错误
iprutils,oe_test_service_iprdump,fail,same,./oe-rv2309/mugen-riscv/logs/iprutils/oe_test_service_iprdump/2023-08-09-04:11:11.log,测试脚本没有显式安装iprutils，镜像也没有预装
,oe_test_service_iprinit,fail,same,./oe-rv2309/mugen-riscv/logs/iprutils/oe_test_service_iprinit/2023-08-09-04:11:55.log,测试脚本没有显式安装iprutils，镜像也没有预装
,oe_test_service_iprupdate,fail,same,./oe-rv2309/mugen-riscv/logs/iprutils/oe_test_service_iprupdate/2023-08-09-04:12:39.log,测试脚本没有显式安装iprutils，镜像也没有预装
,oe_test_target_iprutils,fail,same,./oe-rv2309/mugen-riscv/logs/iprutils/oe_test_target_iprutils/2023-08-09-04:13:24.log,测试脚本没有显式安装iprutils，镜像也没有预装
kmod,oe_test_depmod,fail,diff,./oe-rv2309/mugen-riscv/logs/kmod/oe_test_depmod/2023-08-09-03:48:11.log,与oe2303x86的情况相同，find Module.symvers与System.map均为空
,oe_test_insmod-lsmod,fail,same,./oe-rv2309/mugen-riscv/logs/kmod/oe_test_insmod-lsmod/2023-08-09-03:50:37.log,由于raid0与faulty两个模块缺失，故 find 没有输出
,oe_test_modinfo,fail,same/diff,./oe-rv2309/mugen-riscv/logs/kmod/oe_test_modinfo/2023-08-09-03:51:22.log,与oe2303x86的情况相同，modinfo -p raid1无输出
,oe_test_modprobe,fail,same/diff,./oe-rv2309/mugen-riscv/logs/kmod/oe_test_modprobe/2023-08-09-03:51:36.log,与oe2303x86的情况相同，由于 dm-log 模块文件名为 dm-log.ko.xz，故 find /usr/lib/modules/ -name dm-log.ko 无法找到模块导致失败。另外 dm_cache 模块无法载入 modprobe: ERROR: could not insert 'dm_cache': Key was rejected by service
,oe_test_rmmod,success,03fail,./oe-rv2309/mugen-riscv/logs/kmod/oe_test_rmmod/2023-08-09-03:52:17.log,None
,oe_test_weak-modules,success,03fail,./oe-rv2309/mugen-riscv/logs/kmod/oe_test_weak-modules/2023-08-09-03:52:30.log,None
,oe_test_kmod,success,same,./oe-rv2309/mugen-riscv/logs/kmod/oe_test_kmod/2023-08-09-03:51:08.log,None
kpatch,oe_test_service_kpatch,fail,09fail,./oe-rv2309/mugen-riscv/logs/kpatch/oe_test_service_kpatch/2023-08-09-05:01:03.log,源中无对应软件包
libmicrohttpd,oe_test_libmicrohttpd,success,same,./oe-rv2309/mugen-riscv/logs/libmicrohttpd/oe_test_libmicrohttpd/2023-08-09-05:03:13.log,None
libvirt,oe_test_service_virtqemud,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_service_virtqemud/2023-08-09-02:35:43.log,
,oe_test_service_virtsecretd,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_service_virtsecretd/2023-08-09-02:37:59.log,
,oe_test_service_virtstoraged,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_service_virtstoraged/2023-08-09-02:39:34.log,
,oe_test_socket_libvirtd,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_libvirtd/2023-08-09-02:43:13.log,
,oe_test_socket_libvirtd-admin,fail,09fail,./oe-rv2309/mugen-riscv/logs/libvirt/oe_test_socket_libvirtd-admin/2023-08-09-02:41:23.log,
